example_id                                                             | status  | run_time               |
./embedded_player/ca/album/iab-rectangle_spec.rb[1:1:1:1:1:1]          | passed  | 11.17 seconds          |
./embedded_player/ca/album/iab-rectangle_spec.rb[1:1:1:1:1:2]          | passed  | 1.39 seconds           |
./embedded_player/ca/album/iab-rectangle_spec.rb[1:1:1:1:1:3]          | passed  | 2.91 seconds           |
./embedded_player/ca/album/iab-rectangle_spec.rb[1:1:1:1:1:4]          | passed  | 13.91 seconds          |
./embedded_player/ca/album/iab-skyscraper_spec.rb[1:1:1:1:1:1]         | passed  | 11.34 seconds          |
./embedded_player/ca/album/iab-skyscraper_spec.rb[1:1:1:1:1:2]         | passed  | 1.27 seconds           |
./embedded_player/ca/album/iab-skyscraper_spec.rb[1:1:1:1:1:3]         | passed  | 2.85 seconds           |
./embedded_player/ca/album/iab-skyscraper_spec.rb[1:1:1:1:1:4]         | passed  | 11.89 seconds          |
./embedded_player/ca/album/square_spec.rb[1:1:1:1:1:1]                 | passed  | 10.73 seconds          |
./embedded_player/ca/album/square_spec.rb[1:1:1:1:1:2]                 | passed  | 1.35 seconds           |
./embedded_player/ca/album/square_spec.rb[1:1:1:1:1:3]                 | passed  | 2.86 seconds           |
./embedded_player/ca/album/square_spec.rb[1:1:1:1:1:4]                 | passed  | 12.86 seconds          |
./embedded_player/ca/album/track_spec.rb[1:1:1:1:1:1]                  | passed  | 20.49 seconds          |
./embedded_player/ca/album/track_spec.rb[1:1:1:1:1:2]                  | passed  | 1.69 seconds           |
./embedded_player/ca/album/track_spec.rb[1:1:1:1:1:3]                  | failed  | 2.29 seconds           |
./embedded_player/ca/album/track_spec.rb[1:1:1:1:1:4]                  | passed  | 12.63 seconds          |
./embedded_player/ca/artist/horizontal_spec.rb[1:1:1:1:1:1]            | passed  | 11.93 seconds          |
./embedded_player/ca/artist/horizontal_spec.rb[1:1:1:1:1:2]            | passed  | 1.68 seconds           |
./embedded_player/ca/artist/horizontal_spec.rb[1:1:1:1:1:3]            | passed  | 3.28 seconds           |
./embedded_player/ca/artist/horizontal_spec.rb[1:1:1:1:1:4]            | passed  | 14.01 seconds          |
./embedded_player/ca/artist/iab-rectangle_spec.rb[1:1:1:1:1:1]         | passed  | 12.06 seconds          |
./embedded_player/ca/artist/iab-rectangle_spec.rb[1:1:1:1:1:2]         | passed  | 1.26 seconds           |
./embedded_player/ca/artist/iab-rectangle_spec.rb[1:1:1:1:1:3]         | passed  | 2.89 seconds           |
./embedded_player/ca/artist/iab-rectangle_spec.rb[1:1:1:1:1:4]         | passed  | 12.5 seconds           |
./embedded_player/ca/artist/iab-skyscraper_spec.rb[1:1:1:1:1:1]        | passed  | 11.63 seconds          |
./embedded_player/ca/artist/iab-skyscraper_spec.rb[1:1:1:1:1:2]        | passed  | 1.28 seconds           |
./embedded_player/ca/artist/iab-skyscraper_spec.rb[1:1:1:1:1:3]        | passed  | 3.18 seconds           |
./embedded_player/ca/artist/iab-skyscraper_spec.rb[1:1:1:1:1:4]        | passed  | 13.03 seconds          |
./embedded_player/ca/artist/square_spec.rb[1:1:1:1:1:1]                | passed  | 11.33 seconds          |
./embedded_player/ca/artist/square_spec.rb[1:1:1:1:1:2]                | passed  | 1.44 seconds           |
./embedded_player/ca/artist/square_spec.rb[1:1:1:1:1:3]                | passed  | 2.99 seconds           |
./embedded_player/ca/artist/square_spec.rb[1:1:1:1:1:4]                | passed  | 13.28 seconds          |
./embedded_player/ca/artist/track_spec.rb[1:1:1:1:1:1]                 | passed  | 12.78 seconds          |
./embedded_player/ca/artist/track_spec.rb[1:1:1:1:1:2]                 | passed  | 1.6 seconds            |
./embedded_player/ca/artist/track_spec.rb[1:1:1:1:1:3]                 | passed  | 2.84 seconds           |
./embedded_player/ca/artist/track_spec.rb[1:1:1:1:1:4]                 | passed  | 13.47 seconds          |
./embedded_player/ca/default/horizontal_spec.rb[1:1:1:1:1:1]           | passed  | 8.05 seconds           |
./embedded_player/ca/default/horizontal_spec.rb[1:1:1:1:1:2]           | passed  | 1.85 seconds           |
./embedded_player/ca/default/horizontal_spec.rb[1:1:1:1:1:3]           | passed  | 3.89 seconds           |
./embedded_player/ca/default/horizontal_spec.rb[1:1:1:1:1:4]           | passed  | 9.45 seconds           |
./embedded_player/ca/default/iab-rectangle_spec.rb[1:1:1:1:1:1]        | passed  | 8.92 seconds           |
./embedded_player/ca/default/iab-rectangle_spec.rb[1:1:1:1:1:2]        | passed  | 1.47 seconds           |
./embedded_player/ca/default/iab-rectangle_spec.rb[1:1:1:1:1:3]        | passed  | 2.84 seconds           |
./embedded_player/ca/default/iab-rectangle_spec.rb[1:1:1:1:1:4]        | passed  | 9.37 seconds           |
./embedded_player/ca/default/iab-skyscraper_spec.rb[1:1:1:1:1:1]       | passed  | 8.61 seconds           |
./embedded_player/ca/default/iab-skyscraper_spec.rb[1:1:1:1:1:2]       | passed  | 1.64 seconds           |
./embedded_player/ca/default/iab-skyscraper_spec.rb[1:1:1:1:1:3]       | passed  | 2.84 seconds           |
./embedded_player/ca/default/iab-skyscraper_spec.rb[1:1:1:1:1:4]       | passed  | 9.44 seconds           |
./embedded_player/ca/default/square_spec.rb[1:1:1:1:1:1]               | passed  | 8.56 seconds           |
./embedded_player/ca/default/square_spec.rb[1:1:1:1:1:2]               | passed  | 1.52 seconds           |
./embedded_player/ca/default/square_spec.rb[1:1:1:1:1:3]               | passed  | 2.85 seconds           |
./embedded_player/ca/default/square_spec.rb[1:1:1:1:1:4]               | passed  | 10.51 seconds          |
./embedded_player/ca/default/track_spec.rb[1:1:1:1:1:1]                | passed  | 7.74 seconds           |
./embedded_player/ca/default/track_spec.rb[1:1:1:1:1:2]                | passed  | 1.91 seconds           |
./embedded_player/ca/default/track_spec.rb[1:1:1:1:1:3]                | passed  | 2.84 seconds           |
./embedded_player/ca/default/track_spec.rb[1:1:1:1:1:4]                | passed  | 9.08 seconds           |
./embedded_player/ca/genre/horizontal_spec.rb[1:1:1:1:1:1]             | passed  | 11.08 seconds          |
./embedded_player/ca/genre/horizontal_spec.rb[1:1:1:1:1:2]             | passed  | 1.58 seconds           |
./embedded_player/ca/genre/horizontal_spec.rb[1:1:1:1:1:3]             | passed  | 2.88 seconds           |
./embedded_player/ca/genre/horizontal_spec.rb[1:1:1:1:1:4]             | passed  | 13.06 seconds          |
./embedded_player/ca/genre/iab-rectangle_spec.rb[1:1:1:1:1:1]          | passed  | 10.63 seconds          |
./embedded_player/ca/genre/iab-rectangle_spec.rb[1:1:1:1:1:2]          | passed  | 1.23 seconds           |
./embedded_player/ca/genre/iab-rectangle_spec.rb[1:1:1:1:1:3]          | passed  | 2.83 seconds           |
./embedded_player/ca/genre/iab-rectangle_spec.rb[1:1:1:1:1:4]          | passed  | 11.67 seconds          |
./embedded_player/ca/genre/iab-skyscraper_spec.rb[1:1:1:1:1:1]         | passed  | 10.99 seconds          |
./embedded_player/ca/genre/iab-skyscraper_spec.rb[1:1:1:1:1:2]         | passed  | 1.29 seconds           |
./embedded_player/ca/genre/iab-skyscraper_spec.rb[1:1:1:1:1:3]         | passed  | 2.86 seconds           |
./embedded_player/ca/genre/iab-skyscraper_spec.rb[1:1:1:1:1:4]         | passed  | 12.32 seconds          |
./embedded_player/ca/genre/square_spec.rb[1:1:1:1:1:1]                 | passed  | 12.39 seconds          |
./embedded_player/ca/genre/square_spec.rb[1:1:1:1:1:2]                 | passed  | 1.59 seconds           |
./embedded_player/ca/genre/square_spec.rb[1:1:1:1:1:3]                 | passed  | 3.16 seconds           |
./embedded_player/ca/genre/square_spec.rb[1:1:1:1:1:4]                 | passed  | 13.82 seconds          |
./embedded_player/ca/genre/track_spec.rb[1:1:1:1:1:1]                  | passed  | 11.61 seconds          |
./embedded_player/ca/genre/track_spec.rb[1:1:1:1:1:2]                  | passed  | 1.63 seconds           |
./embedded_player/ca/genre/track_spec.rb[1:1:1:1:1:3]                  | passed  | 3.11 seconds           |
./embedded_player/ca/genre/track_spec.rb[1:1:1:1:1:4]                  | passed  | 12.85 seconds          |
./embedded_player/ca/playlist/horizontal_spec.rb[1:1:1:1:1:1]          | passed  | 12.37 seconds          |
./embedded_player/ca/playlist/horizontal_spec.rb[1:1:1:1:1:2]          | passed  | 1.59 seconds           |
./embedded_player/ca/playlist/horizontal_spec.rb[1:1:1:1:1:3]          | passed  | 4.23 seconds           |
./embedded_player/ca/playlist/horizontal_spec.rb[1:1:1:1:1:4]          | passed  | 15.24 seconds          |
./embedded_player/ca/playlist/iab-rectangle_spec.rb[1:1:1:1:1:1]       | passed  | 11.52 seconds          |
./embedded_player/ca/playlist/iab-rectangle_spec.rb[1:1:1:1:1:2]       | passed  | 1.27 seconds           |
./embedded_player/ca/playlist/iab-rectangle_spec.rb[1:1:1:1:1:3]       | passed  | 2.88 seconds           |
./embedded_player/ca/playlist/iab-rectangle_spec.rb[1:1:1:1:1:4]       | passed  | 13.52 seconds          |
./embedded_player/ca/playlist/iab-skyscraper_spec.rb[1:1:1:1:1:1]      | passed  | 11.84 seconds          |
./embedded_player/ca/playlist/iab-skyscraper_spec.rb[1:1:1:1:1:2]      | passed  | 1.27 seconds           |
./embedded_player/ca/playlist/iab-skyscraper_spec.rb[1:1:1:1:1:3]      | passed  | 3.19 seconds           |
./embedded_player/ca/playlist/iab-skyscraper_spec.rb[1:1:1:1:1:4]      | passed  | 16.38 seconds          |
./embedded_player/ca/playlist/square_spec.rb[1:1:1:1:1:1]              | passed  | 12.08 seconds          |
./embedded_player/ca/playlist/square_spec.rb[1:1:1:1:1:2]              | passed  | 1.44 seconds           |
./embedded_player/ca/playlist/square_spec.rb[1:1:1:1:1:3]              | passed  | 3.07 seconds           |
./embedded_player/ca/playlist/square_spec.rb[1:1:1:1:1:4]              | passed  | 14.07 seconds          |
./embedded_player/ca/playlist/track_spec.rb[1:1:1:1:1:1]               | passed  | 11.48 seconds          |
./embedded_player/ca/playlist/track_spec.rb[1:1:1:1:1:2]               | passed  | 1.87 seconds           |
./embedded_player/ca/playlist/track_spec.rb[1:1:1:1:1:3]               | passed  | 3.51 seconds           |
./embedded_player/ca/playlist/track_spec.rb[1:1:1:1:1:4]               | passed  | 14.84 seconds          |
./embedded_player/ca/track/horizontal_spec.rb[1:1:1:1:1:1]             | passed  | 10.76 seconds          |
./embedded_player/ca/track/horizontal_spec.rb[1:1:1:1:1:2]             | passed  | 1.58 seconds           |
./embedded_player/ca/track/horizontal_spec.rb[1:1:1:1:1:3]             | passed  | 3.89 seconds           |
./embedded_player/ca/track/horizontal_spec.rb[1:1:1:1:1:4]             | passed  | 12.42 seconds          |
./embedded_player/ca/track/iab-rectangle_spec.rb[1:1:1:1:1:1]          | passed  | 18.44 seconds          |
./embedded_player/ca/track/iab-rectangle_spec.rb[1:1:1:1:1:2]          | passed  | 1.71 seconds           |
./embedded_player/ca/track/iab-rectangle_spec.rb[1:1:1:1:1:3]          | passed  | 3.79 seconds           |
./embedded_player/ca/track/iab-rectangle_spec.rb[1:1:1:1:1:4]          | passed  | 11.85 seconds          |
./embedded_player/ca/track/iab-skyscraper_spec.rb[1:1:1:1:1:1]         | passed  | 11.61 seconds          |
./embedded_player/ca/track/iab-skyscraper_spec.rb[1:1:1:1:1:2]         | passed  | 1.31 seconds           |
./embedded_player/ca/track/iab-skyscraper_spec.rb[1:1:1:1:1:3]         | passed  | 3 seconds              |
./embedded_player/ca/track/iab-skyscraper_spec.rb[1:1:1:1:1:4]         | passed  | 12.06 seconds          |
./embedded_player/ca/track/square_spec.rb[1:1:1:1:1:1]                 | passed  | 14.6 seconds           |
./embedded_player/ca/track/square_spec.rb[1:1:1:1:1:2]                 | passed  | 1.57 seconds           |
./embedded_player/ca/track/square_spec.rb[1:1:1:1:1:3]                 | passed  | 2.83 seconds           |
./embedded_player/ca/track/square_spec.rb[1:1:1:1:1:4]                 | passed  | 16.93 seconds          |
./embedded_player/ca/track/track_spec.rb[1:1:1:1:1:1]                  | passed  | 11.8 seconds           |
./embedded_player/ca/track/track_spec.rb[1:1:1:1:1:2]                  | passed  | 1.54 seconds           |
./embedded_player/ca/track/track_spec.rb[1:1:1:1:1:3]                  | passed  | 2.96 seconds           |
./embedded_player/ca/track/track_spec.rb[1:1:1:1:1:4]                  | passed  | 13.78 seconds          |
./embedded_player/de/album/horizontal_spec.rb[1:1:1:1:1:1]             | unknown |                        |
./embedded_player/de/album/horizontal_spec.rb[1:1:1:1:1:2]             | unknown |                        |
./embedded_player/de/album/horizontal_spec.rb[1:1:1:1:1:3]             | unknown |                        |
./embedded_player/de/album/horizontal_spec.rb[1:1:1:1:1:4]             | unknown |                        |
./embedded_player/de/album/iab-rectangle_spec.rb[1:1:1:1:1:1]          | unknown |                        |
./embedded_player/de/album/iab-rectangle_spec.rb[1:1:1:1:1:2]          | unknown |                        |
./embedded_player/de/album/iab-rectangle_spec.rb[1:1:1:1:1:3]          | unknown |                        |
./embedded_player/de/album/iab-rectangle_spec.rb[1:1:1:1:1:4]          | unknown |                        |
./embedded_player/de/album/iab-skyscraper_spec.rb[1:1:1:1:1:1]         | unknown |                        |
./embedded_player/de/album/iab-skyscraper_spec.rb[1:1:1:1:1:2]         | unknown |                        |
./embedded_player/de/album/iab-skyscraper_spec.rb[1:1:1:1:1:3]         | unknown |                        |
./embedded_player/de/album/iab-skyscraper_spec.rb[1:1:1:1:1:4]         | unknown |                        |
./embedded_player/de/album/square_spec.rb[1:1:1:1:1:1]                 | unknown |                        |
./embedded_player/de/album/square_spec.rb[1:1:1:1:1:2]                 | unknown |                        |
./embedded_player/de/album/square_spec.rb[1:1:1:1:1:3]                 | unknown |                        |
./embedded_player/de/album/square_spec.rb[1:1:1:1:1:4]                 | unknown |                        |
./embedded_player/de/album/track_spec.rb[1:1:1:1:1:1]                  | unknown |                        |
./embedded_player/de/album/track_spec.rb[1:1:1:1:1:2]                  | unknown |                        |
./embedded_player/de/album/track_spec.rb[1:1:1:1:1:3]                  | unknown |                        |
./embedded_player/de/album/track_spec.rb[1:1:1:1:1:4]                  | unknown |                        |
./embedded_player/de/artist/horizontal_spec.rb[1:1:1:1:1:1]            | unknown |                        |
./embedded_player/de/artist/horizontal_spec.rb[1:1:1:1:1:2]            | unknown |                        |
./embedded_player/de/artist/horizontal_spec.rb[1:1:1:1:1:3]            | unknown |                        |
./embedded_player/de/artist/horizontal_spec.rb[1:1:1:1:1:4]            | unknown |                        |
